Contract,Buyer,Supplier,Amount,AwardDate,StartDate,EndDate,PreparatoryPhase,ContractDays,PhaseDays,ContractType
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,236250,2024-04-24,2024-04-24,2025-03-31,0,341,0,License/Maintenance Fees Related
Management consulting,Other,Microsoft,81620,2024-04-17,2024-04-01,2025-03-31,-16,364,16,Consulting Related
License/Maintenance fees for networking software,Other,Microsoft,3316198,2022-04-01,2022-04-01,2026-03-31,0,1460,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,44761,2024-09-18,2024-09-18,2025-04-20,0,214,0,Distributed Computing Environment Related
Appli. software (inc. COTS) & app. devel. and deli,Other,Microsoft,17666682,2020-12-07,2020-12-07,2025-03-31,0,1575,0,Software Related
License/Maintenance fees for networking software,Other,Microsoft,467086,2024-07-01,2024-07-01,2029-06-30,0,1825,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,312466,2024-07-01,2024-07-01,2029-03-31,0,1734,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,29953,2024-07-19,2024-08-01,2027-06-30,13,1063,13,License/Maintenance Fees Related
Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,57847,2024-01-12,2024-01-12,2026-05-15,0,854,0,Software Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE  AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,48206,2024-06-01,2024-06-01,2026-03-31,0,668,0,License/Maintenance Fees Related
"License/Maintenance fees for Client Software related to Distributed
Computing Environment (DCE)",Other,Microsoft,409337,2023-11-01,2023-11-01,2026-03-31,0,881,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,National Defence,Microsoft,1149700,2024-09-13,2024-10-03,2025-09-12,20,344,20,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,28283913,2024-09-06,2024-09-06,2025-09-05,0,364,0,Consulting Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,18643,2024-08-22,2024-09-01,2025-08-31,10,364,10,License/Maintenance Fees Related
Information technology and telecommunications consultants,National Defence,Microsoft,731499,2024-07-25,2024-07-25,2025-07-17,0,357,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,18401,2024-07-16,2024-07-16,2025-07-15,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,18401,2024-07-16,2024-07-16,2025-07-15,0,364,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,National Defence,Microsoft,872586,2024-07-03,2024-07-03,2025-07-02,0,364,0,Consulting Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE  AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,34655,2024-09-12,2024-07-09,2025-03-31,-65,265,65,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,646723,2024-01-14,2024-02-19,2025-03-31,36,406,36,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,646723,2024-01-14,2024-02-19,2025-03-31,36,406,36,Distributed Computing Environment Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,452000,2024-09-03,2024-09-03,2025-03-31,0,209,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,16382,2024-09-01,2024-09-01,2025-03-31,0,211,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,237141,2024-08-15,2024-08-15,2025-03-31,0,228,0,Distributed Computing Environment Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,282500,2024-08-14,2024-08-14,2024-11-30,0,108,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,6770031,2020-12-01,2020-12-01,2024-10-01,0,1400,0,Computer Services Related
Info Technology and Telecomm Consultants,Other,Microsoft,339000,2023-06-22,2023-06-22,2024-07-31,0,405,0,Consulting Related
LICENSE/MAINTENANCE FEES FOR CLIENT SOFTWARE RELATED TO DISTRIBUTED COMPUTING ENVIRONMENT,Transport Canada,Microsoft,97388,2022-05-16,2022-05-16,2024-07-05,0,781,0,License/Maintenance Fees Related
Client Software,Other,Microsoft,12430,2022-04-06,2022-04-06,2023-03-31,0,359,0,Software Related
Computer services,Other,Microsoft,704686,2020-09-09,2020-09-09,2022-12-31,0,843,0,Computer Services Related
License/Maintenance fees for Application Software (including Commercial Off-The-Shelf [COTS]) and Application Development and Delivery Software,Other,Microsoft,17564,2020-07-07,2020-07-07,2022-12-31,0,907,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE,Other,Microsoft,169500,2024-08-09,2024-08-09,2029-03-31,0,1695,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,417332,2024-07-30,2024-07-01,2025-03-31,-29,273,29,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,702860,2024-07-03,2024-07-03,2025-03-31,0,271,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,5494339,2020-08-04,2020-08-04,2025-03-31,0,1700,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,348298,2024-07-19,2024-07-01,2025-03-31,-18,273,18,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,161554,2024-07-16,2024-07-16,2025-03-31,0,258,0,License/Maintenance Fees Related
