region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,License/Maintenance fees for application software (including COTS) and application development and delivery software,Prairies Economic Development Canada,Microsoft Canada Inc.,"$236,250","Apr 24, 2024",,"Mar 31, 2025",https://theijf.org/procurement/p2500031_prairiescan
Federal,Management consulting,Prairies Economic Development Canada,Microsoft Canada Inc.,"$81,620","Apr 17, 2024","Apr 1, 2024","Mar 31, 2025",https://theijf.org/procurement/p2500023_prairiescan
Federal,License/Maintenance fees for networking software,Office of the Superintendent of Financial Institutions Canada,MICROSOFT CANADA INC.,"$3,316,198","Apr 1, 2022","Apr 1, 2022","Mar 31, 2026",https://theijf.org/procurement/700433063k_osfi
Federal,Client software related to Distributed Computing Environment (DCE),National Research Council Canada,MICROSOFT CANADA INC.,"$44,761","Sep 18, 2024","Sep 18, 2024","Apr 20, 2025",https://theijf.org/procurement/ras247930_nrc
Federal,Appli. software (inc. COTS) & app. devel. and deli,Canada Border Services Agency,Microsoft Canada Inc.,"$17,666,682","Dec 7, 2020","Dec 7, 2020","Mar 31, 2025",https://theijf.org/procurement/2b21356165_cbsa
Federal,License/Maintenance fees for networking software,Canadian Radio-television and Telecommunications Commission,MICROSOFT CANADA INC,"$467,086","Jul 1, 2024","Jul 1, 2024","Jun 30, 2029",https://theijf.org/procurement/8061256_crtc
Federal,License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Canadian Radio-television and Telecommunications Commission,MICROSOFT CANADA INC,"$312,466","Jul 1, 2024","Jul 1, 2024","Mar 31, 2029",https://theijf.org/procurement/8060811_crtc
Federal,License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Public Safety Canada,MICROSOFT CANADA INC.,"$29,953","Jul 19, 2024","Aug 1, 2024","Jun 30, 2027",https://theijf.org/procurement/s202501684_ps
Federal,Application Software (including COTS) and Application Development and Delivery Software,Correctional Service of Canada,MICROSOFT CANADA INC,"$57,847","Jan 12, 2024","Jan 12, 2024","May 15, 2026",https://theijf.org/procurement/21118_24_4625281_csc
Federal,LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE  AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,MICROSOFT CANADA INC.,"$48,206","Jun 1, 2024","Jun 1, 2024","Mar 31, 2026",https://theijf.org/procurement/t8086_241215_1_tc
Federal,"License/Maintenance fees for Client Software related to Distributed
Computing Environment (DCE)",Health Canada,MICROSOFT CANADA INC,"$409,337","Nov 1, 2023","Nov 1, 2023","Mar 31, 2026",https://theijf.org/procurement/r2023010_hc
Federal,Information technology and telecommunications consultants,National Defence,Microsoft Canada Inc.,"$1,149,700","Sep 13, 2024","Oct 3, 2024","Sep 12, 2025",https://theijf.org/procurement/w8474_18it01_002_qe_dnd
Federal,Information technology and telecommunications consultants,National Defence,Microsoft,"$28,283,913","Sep 6, 2024","Sep 6, 2024","Sep 5, 2025",https://theijf.org/procurement/so_45764_dnd
Federal,License/Maintenance fees for application software (including COTS) and application development and delivery software,Women and Gender Equality Canada,Microsoft Canada Inc.,"$18,643","Aug 22, 2024","Sep 1, 2024","Aug 31, 2025",https://theijf.org/procurement/p2500019_wage
Federal,Information technology and telecommunications consultants,National Defence,Microsoft Canada,"$731,499","Jul 25, 2024","Jul 25, 2024","Jul 17, 2025",https://theijf.org/procurement/so_37962_dnd
Federal,License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Social Sciences and Humanities Research Council of Canada,MICROSOFT CANADA INC.,"$18,401","Jul 16, 2024","Jul 16, 2024","Jul 15, 2025",https://theijf.org/procurement/b700433063_sshrc
Federal,License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Natural Sciences and Engineering Research Council of Canada,MICROSOFT CANADA INC.,"$18,401","Jul 16, 2024","Jul 16, 2024","Jul 15, 2025",https://theijf.org/procurement/b700433063_nserc
Federal,Information technology and telecommunications consultants,National Defence,Microsoft Canada,"$872,586","Jul 3, 2024","Jul 3, 2024","Jul 2, 2025",https://theijf.org/procurement/so_36549_dnd
Federal,LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE  AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,MICROSOFT CANADA INC.,"$34,655","Sep 12, 2024","Jul 9, 2024","Mar 31, 2025",https://theijf.org/procurement/t8086_241376_tc
Federal,Client software related to Distributed Computing Environment (DCE),Social Sciences and Humanities Research Council of Canada,MICROSOFT CANADA INC.,"$646,723","Jan 14, 2024","Feb 19, 2024","Mar 31, 2025",https://theijf.org/procurement/60032682a_sshrc
