region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,Computer equipment related to Distributed Computing Environment (DCE) - Desktop/personal/portable (includes all related parts and peripherals),National Research Council Canada,BELL CANADA,"$38,143","Aug 7, 2024","Aug 7, 2024","Aug 23, 2024",https://theijf.org/procurement/ras245478_nrc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",National Defence,BELL CANADA,"$1,377,659","Aug 27, 2024","Aug 27, 2024","Oct 25, 2024",https://theijf.org/procurement/2bn171612_dnd
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$13,453","Sep 1, 2024","Sep 1, 2024","Mar 31, 2030",https://theijf.org/procurement/p000062837_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$25,345","Aug 26, 2024","Aug 26, 2024","Mar 31, 2030",https://theijf.org/procurement/p000061364_ssc
Federal,Computer Services (includes IT solutions / deliverables as well as IT Managed Services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$25,367","Jul 24, 2024","Jun 26, 2024","Mar 31, 2030",https://theijf.org/procurement/p000061386_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$19,581","Jul 30, 2024","Jul 30, 2024","Mar 31, 2030",https://theijf.org/procurement/p000061433_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$28,349","Aug 1, 2024","Aug 1, 2024","Mar 31, 2030",https://theijf.org/procurement/p000062721_ssc
Federal,Computer Services (includes IT solutions / deliverables as well as IT Managed Services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$219,303","Jul 25, 2024","May 30, 2024","Mar 31, 2030",https://theijf.org/procurement/p000063635_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$33,616","Aug 1, 2024","Aug 1, 2024","Mar 31, 2030",https://theijf.org/procurement/p000063319_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$22,079","Aug 1, 2024","Aug 1, 2024","Mar 31, 2030",https://theijf.org/procurement/p000063150_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$36,410","Aug 1, 2024","Aug 1, 2024","Mar 31, 2030",https://theijf.org/procurement/p000062873_ssc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$26,392","Sep 6, 2024","Sep 6, 2024","Mar 31, 2030",https://theijf.org/procurement/p000061204_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$922,118","Aug 15, 2024","Aug 15, 2024","Aug 14, 2029",https://theijf.org/procurement/p000064248_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$128,700","Aug 12, 2024","Aug 12, 2024","Aug 11, 2029",https://theijf.org/procurement/p000064238_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$746,114","Jul 23, 2024","Jul 23, 2024","Jul 20, 2029",https://theijf.org/procurement/p000063936_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$2,192,088","Jul 16, 2024","Jul 16, 2024","Jul 15, 2029",https://theijf.org/procurement/p000063638_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$50,192","Jul 18, 2024","Jul 18, 2024","Mar 31, 2028",https://theijf.org/procurement/700791565_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$77,128","Jul 18, 2024","Jul 18, 2024","Mar 31, 2028",https://theijf.org/procurement/700791594_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$145,397","Jul 18, 2024","Jul 18, 2024","Mar 31, 2028",https://theijf.org/procurement/700791668_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$148,889","Aug 28, 2024","Aug 28, 2024","Mar 31, 2028",https://theijf.org/procurement/700796757_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$22,456","Sep 4, 2024","Sep 4, 2024","Mar 31, 2028",https://theijf.org/procurement/700797484_ssc
Federal,Data communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$3,193,234","Sep 1, 2024","Sep 1, 2024","Aug 31, 2027",https://theijf.org/procurement/p000063134_ssc
Federal,Data communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$70,683","Aug 15, 2022","Aug 15, 2022","Aug 31, 2027",https://theijf.org/procurement/p000039459_ssc
Federal,Voice communications services,Shared Services Canada,MTS INC.,"$77,126","Jul 18, 2024","Jul 18, 2024","Mar 31, 2027",https://theijf.org/procurement/700791544_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$211,544","Sep 4, 2024","Sep 4, 2024","Mar 31, 2027",https://theijf.org/procurement/700797487_ssc
Federal,Voice communications services,Shared Services Canada,MTS INC.,"$41,501","Jul 18, 2024","Jul 18, 2024","Mar 31, 2027",https://theijf.org/procurement/700791546_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$55,401","Sep 3, 2024","Sep 3, 2024","Mar 31, 2026",https://theijf.org/procurement/700797297_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$119,985","Jul 18, 2024","Jul 18, 2024","Mar 31, 2026",https://theijf.org/procurement/700791664_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$58,231","Sep 3, 2024","Sep 3, 2024","Mar 31, 2026",https://theijf.org/procurement/700797283_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$12,250","Sep 4, 2024","Sep 4, 2024","Mar 31, 2026",https://theijf.org/procurement/700797464_ssc
Federal,Voice communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$13,903","Jul 18, 2024","Jul 18, 2024","Mar 31, 2026",https://theijf.org/procurement/700791635_ssc
Federal,License/Maintenance fees for networking software,Shared Services Canada,BELL CANADA,"$16,523,842","May 6, 2020","May 6, 2020","Mar 31, 2026",https://theijf.org/procurement/700512286_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$2,957,010","Nov 20, 2022","Nov 20, 2022","Nov 19, 2025",https://theijf.org/procurement/p000041894_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$22,398","Aug 27, 2024","Aug 27, 2024","Aug 25, 2025",https://theijf.org/procurement/p000064622_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$271,487","Aug 20, 2024","Aug 20, 2024","Aug 19, 2025",https://theijf.org/procurement/p000064638_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$2,208,400","Aug 20, 2024","Aug 20, 2024","Aug 19, 2025",https://theijf.org/procurement/p000064639_ssc
Federal,Data communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$27,454,675","Jul 22, 2020","Jul 22, 2020","Jul 21, 2025",https://theijf.org/procurement/p000016437_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$1,669,395","Jul 22, 2024","Jul 22, 2024","Jul 21, 2025",https://theijf.org/procurement/p000063791_ssc
Federal,License/Maintenance fees for networking software,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$519,558","Jul 17, 2024","Jul 17, 2024","Jul 16, 2025",https://theijf.org/procurement/p000063688_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$80,194","Jul 10, 2024","Jul 10, 2024","Jul 9, 2025",https://theijf.org/procurement/p000063469_ssc
Federal,Data communications services,Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$211,508","Mar 1, 2020","Mar 1, 2020","Apr 1, 2025",https://theijf.org/procurement/p000013139_ssc
Federal,Voice communications services,Shared Services Canada,BELL ALIANT REGIONAL,"$48,639","Jul 18, 2024","Jul 18, 2024","Mar 31, 2025",https://theijf.org/procurement/700791672_ssc
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$974,017","Jul 17, 2024","Jul 17, 2024","Mar 31, 2025",https://theijf.org/procurement/7275299_rcmp
Federal,ACQUISITION OF COMMUNICATIONS/NETWORKING EQUIPMENT,Public Prosecution Service of Canada,BELL MOBILITY INC,"$133,453","Aug 28, 2024","Aug 28, 2024","Mar 31, 2025",https://theijf.org/procurement/20240106cc_ppsc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$120,044","Aug 20, 2024","Aug 20, 2024","Dec 31, 2024",https://theijf.org/procurement/7274341_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$87,373","Aug 9, 2024","Aug 9, 2024","Dec 31, 2024",https://theijf.org/procurement/7274156_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$11,774","Sep 12, 2024","Sep 12, 2024","Dec 31, 2024",https://theijf.org/procurement/7274770_rcmp
Federal,Computer equipment related to distributed computing environment (DCE)-Desktop/personal/portable (includes all related parts and peripherals),Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$137,853","Aug 2, 2024","Aug 2, 2024","Dec 31, 2024",https://theijf.org/procurement/s202403727_rcmp
Federal,"Rental of Computer Equipment related to Production and Operations (P&O) environment-All servers, storage, printers etc (Includes all related parts and peripherals)",Shared Services Canada,THE BELL TELEPHONE COMPANY OF,"$734,494","Aug 6, 2024","Jun 20, 2024","Dec 19, 2024",https://theijf.org/procurement/p000063899_ssc
Federal,License/Maintenance fees for application software (including COTS) and application development and delivery software,Royal Canadian Mounted Police,BELL CANADA,"$251,650","Aug 17, 2022","Aug 17, 2022","Aug 19, 2024",https://theijf.org/procurement/s202301462_rcmp
Federal,Other Business services not Elsewhere Specified,Royal Canadian Mounted Police,BELL CANADA/BELL NEXXIA,"$113,302","Aug 9, 2024","Aug 9, 2024","Aug 9, 2024",https://theijf.org/procurement/7274157_rcmp
Federal,License/Maintenance fees for application software (including COTS) and application development and delivery software,Global Affairs Canada,Bell Canada,"$23,264","Sep 25, 2024","Sep 25, 2024","Sep 25, 2025",https://theijf.org/procurement/7461913_dfatd
Federal,Information technology and telecommunications consultants,Global Affairs Canada,Bell Canada,"$213,477","Jul 24, 2024","Jul 24, 2024","Jul 15, 2025",https://theijf.org/procurement/223_0069_dfatd
